id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas
0,Wundulako,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Kolaka,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Pomalaa,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Watubangga,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Wolo,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Baula,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Latambaga,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Tanggetada,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Samaturu,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Toari,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Polinggona,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Iwoimendaa,Kolaka,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Lambuya,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Unaaha,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Wawotobi,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Pondidaha,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Sampara,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Abuki,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Soropia,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tongauna,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Latoma,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Puriala,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Uepai,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Wonggeduku,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Besulutu,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Bondoala,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Routa,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Anggaberi,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Meluhu,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Amonggedo,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Asinua,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Konawe,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Kapoiala,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Lalonggasumeeto,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Onembute,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Padangguni,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Morosi,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Anggalomoare,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Wonggeduku Barat,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
