id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,indeks_k2_komposit,indeks_sfai,indeks_akses_informasi
0,Wundulako,Kolaka,2020,0.3804,0.3804,0.6994
1,Kolaka,Kolaka,2020,0.3613,0.3613,0.8265
2,Pomalaa,Kolaka,2020,0.3819,0.3819,0.5863
3,Watubangga,Kolaka,2020,0.4544,0.4544,0.384
4,Wolo,Kolaka,2020,0.1753,0.1753,0.2669
5,Baula,Kolaka,2020,0.3755,0.3755,0.6578
6,Latambaga,Kolaka,2020,0.2768,0.2768,0.6614
7,Tanggetada,Kolaka,2020,0.4337,0.4337,0.4961
8,Samaturu,Kolaka,2020,0.231,0.231,0.4147
9,Toari,Kolaka,2020,0.4946,0.4946,0.3725
10,Polinggona,Kolaka,2020,0.3464,0.3464,0.3879
11,Iwoimendaa,Kolaka,2020,0.265,0.265,0.2316
12,Lambuya,Konawe,2020,0.4534,0.4534,0.6654
13,Unaaha,Konawe,2020,0.6973,0.6973,0.9992
14,Wawotobi,Konawe,2020,0.6299,0.6299,0.7727
15,Pondidaha,Konawe,2020,0.6315,0.6315,0.5494
16,Sampara,Konawe,2020,0.6277,0.6277,0.8408
17,Abuki,Konawe,2020,0.3002,0.3002,0.5353
18,Soropia,Konawe,2020,0.6611,0.6611,0.8379
19,Tongauna,Konawe,2020,0.5251,0.5251,0.91
20,Latoma,Konawe,2020,0.1344,0.1344,0.1967
21,Puriala,Konawe,2020,0.4974,0.4974,0.4845
22,Uepai,Konawe,2020,0.3626,0.3626,0.877
23,Wonggeduku,Konawe,2020,0.6171,0.6171,0.5598
24,Besulutu,Konawe,2020,0.5716,0.5716,0.6214
25,Bondoala,Konawe,2020,0.6366,0.6366,0.7697
26,Routa,Konawe,2020,0.1278,0.1278,0.1017
27,Anggaberi,Konawe,2020,0.315,0.315,0.7118
28,Meluhu,Konawe,2020,0.4974,0.4974,0.6353
29,Amonggedo,Konawe,2020,0.3694,0.3694,0.5954
30,Asinua,Konawe,2020,0.214,0.214,0.383
31,Konawe,Konawe,2020,0.6418,0.6418,0.8033
32,Kapoiala,Konawe,2020,0.6249,0.6249,0.7796
33,Lalonggasumeeto,Konawe,2020,0.5654,0.5654,0.8921
34,Onembute,Konawe,2020,0.3535,0.3535,0.4966
35,Padangguni,Konawe,2020,0.2424,0.2424,0.4054
36,Morosi,Konawe,2020,0.4911,0.4911,0.6184
37,Anggalomoare,Konawe,2020,0.6305,0.6305,0.871
38,Wonggeduku Barat,Konawe,2020,0.5961,0.5961,0.6443
39,Tongauna Utara,Konawe,2020,0.2745,0.2745,0.614
40,Napabalano,Muna,2020,0.5029,0.5029,0.3268
41,Maligano,Muna,2020,0.434,0.434,0.4539
42,Wakorumba Selatan,Muna,2020,0.5047,0.5047,0.4196
43,Lasalepa,Muna,2020,0.5526,0.5526,0.3229
44,Batalaiworu,Muna,2020,0.707,0.707,0.3286
45,Katobu,Muna,2020,0.8435,0.8435,0.3344
46,Duruka,Muna,2020,0.7142,0.7142,0.3454
47,Lohia,Muna,2020,0.4811,0.4811,0.3571
48,Watopute,Muna,2020,0.4451,0.4451,0.3489
49,Kontunaga,Muna,2020,0.5722,0.5722,0.3593
50,Kabangka,Muna,2020,0.5517,0.5517,0.7346
51,Kabawo,Muna,2020,0.501,0.501,0.5344
52,Parigi,Muna,2020,0.5259,0.5259,0.5444
53,Bone,Muna,2020,0.5334,0.5334,0.5586
54,Tongkuno,Muna,2020,0.4247,0.4247,0.5103
55,Pasir Putih,Muna,2020,0.5055,0.5055,0.4187
56,Kontu Kowuna,Muna,2020,0.5272,0.5272,0.5562
57,Marobo,Muna,2020,0.619,0.619,0.5149
58,Tongkuno Selatan,Muna,2020,0.4757,0.4757,0.6339
59,Pasi Kolaga,Muna,2020,0.5239,0.5239,0.4472
60,Batukara,Muna,2020,0.4668,0.4668,0.4626
61,Towea,Muna,2020,0.3255,0.3255,0.3745
62,Pasarwajo,Buton,2020,0.3361,0.3361,0.558
63,Kapontori,Buton,2020,0.3808,0.3808,0.4812
64,Lasalimu,Buton,2020,0.4918,0.4918,0.2938
65,Lasalimu Selatan,Buton,2020,0.4696,0.4696,0.2024
66,Siotapina,Buton,2020,0.3206,0.3206,0.2566
67,Wolowa,Buton,2020,0.2853,0.2853,0.3615
