id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,jumlah_penduduk_jiwa,luas_hutan_ha,luas_kebun_ha,luas_semak_ha,luas_kering_ha,luas_sawah_ha,luas_tambang_ha,luas_terbangun_ha,luas_air_ha,total_pk_sawah_ton,total_pb_sawah_ton,total_e_sawah_mcal,yield_pk_sawah_ton_ha,yield_pb_sawah_ton_ha,yield_e_sawah_mcal_ha,total_pk_kering_ton,total_pb_kering_ton,total_e_kering_mcal,yield_pk_kering_ton_ha,yield_pb_kering_ton_ha,yield_e_kering_mcal_ha,energi_tersedia_mcal,kebutuhan_energi_mcal,gap_energi_mcal,rasio_energi_kebutuhan,delta_jumlah_penduduk_jiwa,pct_jumlah_penduduk_jiwa,delta_luas_sawah_ha,pct_luas_sawah_ha,delta_luas_kering_ha,pct_luas_kering_ha,delta_total_pk_sawah_ton,pct_total_pk_sawah_ton,delta_total_pb_sawah_ton,pct_total_pb_sawah_ton,delta_total_e_sawah_mcal,pct_total_e_sawah_mcal,delta_yield_pk_sawah_ton_ha,pct_yield_pk_sawah_ton_ha,delta_yield_pb_sawah_ton_ha,pct_yield_pb_sawah_ton_ha,delta_yield_e_sawah_mcal_ha,pct_yield_e_sawah_mcal_ha,delta_total_pk_kering_ton,pct_total_pk_kering_ton,delta_total_pb_kering_ton,pct_total_pb_kering_ton,delta_total_e_kering_mcal,pct_total_e_kering_mcal,delta_yield_pk_kering_ton_ha,pct_yield_pk_kering_ton_ha,delta_yield_pb_kering_ton_ha,pct_yield_pb_kering_ton_ha,delta_yield_e_kering_mcal_ha,pct_yield_e_kering_mcal_ha,delta_energi_tersedia_mcal,pct_energi_tersedia_mcal,delta_kebutuhan_energi_mcal,pct_kebutuhan_energi_mcal,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas,indeks_k2_komposit,indeks_sfai,indeks_akses_informasi
0,Wundulako,Kolaka,2020,22377.55,5772.69,0.0,4403.61,3244.77,1036.17,37.71,520.38,963.63,4867.08,3102.76,11076873.0,4.7,2.99,10690.21,78912.81,66815.47,144769072.0,24.32,20.59,44616.13,155845945.0,10291437.0,145554508.0,15.1433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3804,0.3804,0.6994
1,Kolaka,Kolaka,2020,45085.61,5643.63,80.64,2238.21,4856.31,382.41,0.0,644.31,130.86,1796.25,1145.11,4088042.5,4.7,2.99,10690.21,118105.47,99999.88,216669760.0,24.32,20.59,44616.13,220757802.5,20734870.0,200022932.5,10.6467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3613,0.3613,0.8265
2,Pomalaa,Kolaka,2020,45803.68,6547.23,0.0,5337.36,5930.82,1155.15,1782.81,927.18,675.09,5425.95,3459.05,12348795.0,4.7,2.99,10690.21,144237.56,122125.91,264610208.0,24.32,20.59,44616.13,276959003.0,21065112.0,255893891.0,13.1478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3819,0.3819,0.5863
3,Watubangga,Kolaka,2020,20901.96,3242.97,2714.22,5512.23,10479.51,1081.35,0.0,691.47,1044.99,5079.3,3238.05,11559855.0,4.7,2.99,10690.21,254861.69,215791.42,467555168.0,24.32,20.59,44616.13,479115023.0,9612810.0,469502213.0,49.8413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4544,0.4544,0.384
4,Wolo,Kolaka,2020,20304.34,38403.72,3.87,3740.31,7757.37,1067.31,450.9,394.02,618.39,5013.35,3196.01,11409764.0,4.7,2.99,10690.21,188659.2,159737.78,346103936.0,24.32,20.59,44616.14,357513700.0,9337970.0,348175730.0,38.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1753,0.1753,0.2669
5,Baula,Kolaka,2020,16835.76,3538.35,0.0,2747.79,5677.83,981.0,0.0,425.34,0.45,4607.94,2937.56,10487094.0,4.7,2.99,10690.21,138084.86,116916.43,253322816.0,24.32,20.59,44616.13,263809910.0,7742768.5,256067141.5,34.0718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3755,0.3755,0.6578
6,Latambaga,Kolaka,2020,23565.66,11156.04,0.0,1430.01,8555.31,96.57,0.0,381.15,309.6,453.61,289.17,1032353.44,4.7,2.99,10690.21,208065.16,176168.77,381704800.0,24.32,20.59,44616.13,382737153.44,10837847.0,371899306.44,35.3149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2768,0.2768,0.6614
7,Tanggetada,Kolaka,2020,20741.47,8175.6,6447.69,3979.8,7195.95,772.29,56.61,484.11,428.13,3627.59,2312.59,8255940.0,4.7,2.99,10690.21,175005.55,148177.14,321055456.0,24.32,20.59,44616.13,329311396.0,9539003.0,319772393.0,34.5226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4337,0.4337,0.4961
8,Samaturu,Kolaka,2020,25582.31,30444.84,3.87,1419.66,18104.13,1342.8,0.0,389.16,1483.47,6307.38,4020.96,14354811.0,4.7,2.99,10690.21,440292.47,372795.56,807736128.0,24.32,20.59,44616.13,822090939.0,11765307.0,810325632.0,69.8742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.231,0.4147
9,Toari,Kolaka,2020,10670.48,90.45,14.49,4090.59,4865.67,0.0,0.0,477.18,139.59,0.0,0.0,0.0,0.0,0.0,0.0,118333.09,100192.63,217087408.0,24.32,20.59,44616.14,217087408.0,4907354.5,212180053.5,44.2372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4946,0.4946,0.3725
